"""","成牛総数(頭)","和 牛(頭)","乳 牛(頭)","乳 牛_乳用肥育おす牛(頭)","乳 牛_乳用めす牛(頭)","その他の牛(頭)","子 牛(頭)","豚(頭)"
"昭和60年(1985年)","7143.0","1810.0","5309.0","4232.0","1077.0","24.0","76.0","57498.0"
"平成 2年(1990年)","6134.0","1375.0","4714.0","3244.0","1470.0","45.0","41.0","37639.0"
"平成 7年(1995年)","3603.0","1249.0","2351.0","1521.0","830.0","3.0","16.0","15067.0"
"平成12年(2000年)","2900.0","982.0","1917.0","993.0","924.0","1.0","14.0","9298.0"
"","","","","","","","",""
"平成13年(2001年)","2470.0","940.0","1530.0","835.0","695.0","0.0","7.0","7800.0"
"平成14年(2002年)","2716.0","960.0","1756.0","985.0","771.0","0.0","5.0","7082.0"
"平成15年(2003年)","1828.0","663.0","1165.0","684.0","481.0","0.0","12.0","6285.0"
"平成16年(2004年)","1964.0","720.0","1244.0","577.0","667.0","0.0","8.0","5554.0"
"平成17年(2005年)","1895.0","989.0","906.0","456.0","450.0","0.0","18.0","4901.0"
"","","","","","","","",""
"平成18年(2006年)","1937.0","1070.0","867.0","437.0","430.0","0.0","22.0","4715.0"
"平成19年(2007年)","1461.0","699.0","762.0","344.0","418.0","0.0","6.0","5228.0"
"平成20年(2008年)","2080.0","1208.0","872.0","317.0","555.0","0.0","10.0","4926.0"
"平成21年(2009年)","1362.0","778.0","584.0","176.0","408.0","0.0","9.0","5306.0"
